,gene1,gene2,gene1 perturbation,gene2 perturbation,PMID,cancer_type,SL
0,MUS81,TTC31,mut,shRNA,24104479,COAD,0
1,MUS81,ESPL1,mut,shRNA,24104479,COAD,1
2,MUS81,ST6GALNAC3,mut,shRNA,24104479,COAD,0
3,MUS81,MTMR6,mut,shRNA,24104479,COAD,0
4,MUS81,OVCH1,mut,shRNA,24104479,COAD,0
5,MUS81,SFRS12,mut,shRNA,24104479,COAD,0
6,MUS81,TRAF6,mut,shRNA,24104479,COAD,1
7,MUS81,LRRC55,mut,shRNA,24104479,COAD,0
8,MUS81,SLC35A2,mut,shRNA,24104479,COAD,0
9,MUS81,TRIP6,mut,shRNA,24104479,COAD,1
10,MUS81,ADAM7,mut,shRNA,24104479,COAD,0
11,MUS81,CLEC4C,mut,shRNA,24104479,COAD,0
12,MUS81,CCDC21,mut,shRNA,24104479,COAD,0
13,MUS81,LUC7L3,mut,shRNA,24104479,COAD,0
14,MUS81,RAB4B,mut,shRNA,24104479,COAD,0
15,MUS81,PIGN,mut,shRNA,24104479,COAD,0
16,MUS81,PPM1M,mut,shRNA,24104479,COAD,0
17,MUS81,PLEKHH1,mut,shRNA,24104479,COAD,1
18,MUS81,ARL5B,mut,shRNA,24104479,COAD,0
19,MUS81,REG3G,mut,shRNA,24104479,COAD,0
20,MUS81,CREBBP,mut,shRNA,24104479,COAD,1
21,MUS81,PBX3,mut,shRNA,24104479,COAD,0
22,MUS81,CHAF1A,mut,shRNA,24104479,COAD,1
23,MUS81,HS3ST4,mut,shRNA,24104479,COAD,0
24,MUS81,PLSCR4,mut,shRNA,24104479,COAD,0
25,MUS81,UBE2Q2P1,mut,shRNA,24104479,COAD,0
26,MUS81,IFIH1,mut,shRNA,24104479,COAD,0
27,MUS81,ZNF142,mut,shRNA,24104479,COAD,1
28,MUS81,SHC4,mut,shRNA,24104479,COAD,0
29,MUS81,EDN1,mut,shRNA,24104479,COAD,0
30,MUS81,IL13,mut,shRNA,24104479,COAD,0
31,MUS81,GPR162,mut,shRNA,24104479,COAD,0
32,MUS81,TMEM33,mut,shRNA,24104479,COAD,0
33,MUS81,AKIRIN1,mut,shRNA,24104479,COAD,0
34,MUS81,ANKMY1,mut,shRNA,24104479,COAD,0
35,MUS81,CER1,mut,shRNA,24104479,COAD,0
36,MUS81,ACTR5,mut,shRNA,24104479,COAD,0
37,MUS81,OR51V1,mut,shRNA,24104479,COAD,0
38,MUS81,MARK2,mut,shRNA,24104479,COAD,0
39,MUS81,LRRC25,mut,shRNA,24104479,COAD,0
40,MUS81,INS,mut,shRNA,24104479,COAD,0
41,MUS81,TCF20,mut,shRNA,24104479,COAD,1
42,MUS81,STK3,mut,shRNA,24104479,COAD,0
43,MUS81,UBAP2L,mut,shRNA,24104479,COAD,1
44,MUS81,DYRK2,mut,shRNA,24104479,COAD,0
45,MUS81,ARF5,mut,shRNA,24104479,COAD,0
46,MUS81,PCDHGB2,mut,shRNA,24104479,COAD,0
47,MUS81,KIAA0101,mut,shRNA,24104479,COAD,0
48,MUS81,ADAT2,mut,shRNA,24104479,COAD,0
49,MUS81,F7,mut,shRNA,24104479,COAD,0
50,MUS81,CXCL12,mut,shRNA,24104479,COAD,0
51,MUS81,TFR2,mut,shRNA,24104479,COAD,0
52,MUS81,KIAA0319L,mut,shRNA,24104479,COAD,0
53,MUS81,OR2H1,mut,shRNA,24104479,COAD,0
54,MUS81,ACP1,mut,shRNA,24104479,COAD,0
55,MUS81,UBB,mut,shRNA,24104479,COAD,0
56,MUS81,CAMK1G,mut,shRNA,24104479,COAD,0
57,MUS81,TRPC4AP,mut,shRNA,24104479,COAD,0
58,MUS81,CNPY4,mut,shRNA,24104479,COAD,0
59,MUS81,FUT9,mut,shRNA,24104479,COAD,0
60,MUS81,OXTR,mut,shRNA,24104479,COAD,0
61,MUS81,IBTK,mut,shRNA,24104479,COAD,0
62,MUS81,ENSA,mut,shRNA,24104479,COAD,0
63,MUS81,LILRA3,mut,shRNA,24104479,COAD,0
64,MUS81,RAB3GAP2,mut,shRNA,24104479,COAD,0
65,MUS81,CYP27C1,mut,shRNA,24104479,COAD,0
